from_loc,to_loc,vehicle,weather,hour,dow,demand,distance_km,price
Notun Bazar,Pallabi,Car,Rainy,8,3,0.74,12.1,1097.0
Press Club,Abul Hotel,CNG,Sunny,23,6,0.75,6.4,311.0
Kalyanpur,Khilkhet,CNG,Regular,7,2,0.49,11.5,484.0
MES,Nadda,Bus,Sunny,16,0,0.3,4.5,21.0
Mugda,Karwan Bazar,CNG,Regular,20,6,0.97,7.5,530.0
Dhanmondi 27,Kalyanpur,Car,Regular,23,1,0.65,4.1,248.0
Bashundhara / Jamuna FP,Mirpur 11,Bus,Rainy,14,3,0.186,7.7,50.0
Paltan,Mirpur 2,Car,Regular,21,1,0.87,12.1,540.0
Khilgaon Flyover,Dhanmondi 27,Bus,Sunny,4,6,0.054,8.0,35.0
Cantonment (Radisson),College Gate,Bus,Sunny,17,3,0.222,8.0,59.0
Nadda,Kalyanpur,Bike,Sunny,20,5,0.85,10.6,336.0
Shahjahanpur,Rampura Bridge,CNG,Sunny,0,6,0.33,2.7,171.0
Jagannath University,Badda,CNG,Rainy,4,5,0.76,12.8,767.0
Pallabi,Azampur,Car,Rainy,13,3,0.14,9.0,506.0
MES,Farmgate,Bus,Sunny,4,6,0.042,7.9,64.0
Agargaon (IDB Bhaban),High Court,Bus,Sunny,18,1,0.165,7.3,71.0
Middle Badda,Rajlakshmi,Bike,Sunny,19,3,0.45,15.6,467.0
Press Club,High Court,CNG,Regular,4,3,0.45,0.8,97.0
Khilgaon Flyover,House Building,Bike,Sunny,1,2,0.35,21.1,424.0
Mirpur 12,Shyamoli,CNG,Sunny,10,4,0.14,8.7,481.0
Shahbagh,Rajarbagh,CNG,Rainy,2,0,0.76,4.6,327.0
Shahbagh,Jashimuddin (Uttara),CNG,Sunny,22,4,0.77,19.3,658.0
Mazar Road,Rampura Bridge,Car,Sunny,3,3,0.96,10.3,444.0
Nadda,Shahjahanpur,Bus,Stormy,19,2,0.162,8.5,76.0
Abul Hotel,Maniknagar,Car,Rainy,10,2,0.21,7.3,709.0
Chandpur,Shahjahanpur,Bike,Rainy,16,4,0.85,83.9,1842.0
Shahjahanpur,City College / Science Lab,Car,Rainy,4,4,0.18,5.4,317.0
Khilgaon Flyover,Mirpur 11,Bus,Sunny,6,0,0.189,13.2,78.0
Nadda,Mazar Road,Bus,Regular,9,1,0.12,9.5,64.0
Pallabi,Kakali (Banani),CNG,Regular,19,3,0.79,6.9,496.0
Karwan Bazar,Mugda,Bike,Sunny,12,4,0.39,7.5,156.0
Badda Link Road,Shahbagh,Car,Rainy,17,6,0.67,9.1,849.0
Abdullahpur,Khilgaon Flyover,Bike,Sunny,7,1,0.31,22.7,437.0
Abdullahpur,Mohakhali Bus Terminal,Bus,Stormy,21,6,0.174,17.1,98.0
Ray Saheb Bazar,Rampura Bridge,Car,Rainy,17,2,0.75,8.3,783.0
Cantonment (Radisson),Rajlakshmi,Bike,Sunny,17,2,0.14,10.6,322.0
Press Club,Jagannath University,CNG,Sunny,5,3,0.83,3.7,205.0
Maniknagar,Sayedabad Bus Terminal,CNG,Regular,20,4,0.78,1.1,120.0
Gulshan 1,Jagannath University,Car,Sunny,3,5,0.89,11.3,485.0
Paltan,Matsya Bhaban,Bus,Sunny,6,1,0.165,2.6,35.0
Shishu Mela,Badda,CNG,Regular,1,2,0.29,11.3,529.0
Karwan Bazar,Mirpur 10,Bus,Stormy,17,1,0.201,8.8,63.0
Kalabagan,Karwan Bazar,Rickshaw,Rainy,22,1,0.88,2.5,128.0
Maniknagar,Naya Bazar,Bus,Regular,16,1,0.237,4.7,25.0
Amtoli (Mohakhali),Chandpur,Car,Regular,22,6,0.63,89.2,3509.0
Badda Link Road,Middle Badda,Bus,Sunny,23,0,0.273,0.8,38.0
New Market / Nilkhet,Mazar Road,Bike,Sunny,20,4,0.41,9.3,264.0
Mohakhali Bus Terminal,Mazar Road,CNG,Regular,4,0,0.42,6.2,310.0
Kalabagan,Cantonment (Radisson),Bike,Rainy,13,1,0.77,9.5,275.0
Abul Hotel,Technical,Car,Rainy,14,6,0.56,9.9,554.0
Kalabagan,Azampur,Bike,Sunny,12,5,0.65,20.3,390.0
Press Club,Dhanmondi 27,CNG,Sunny,22,3,0.87,6.1,277.0
Mirpur 11,Chandpur,Bike,Sunny,11,4,0.27,95.8,1505.0
Mirpur 12,Nadda,Bus,Regular,16,3,0.06,9.6,43.0
Bangla Motor,Malibagh Railgate,Bus,Sunny,2,0,0.129,4.7,43.0
Rajarbagh,Maniknagar,Bike,Stormy,12,1,0.18,3.3,143.0
Karwan Bazar,Matsya Bhaban,Rickshaw,Rainy,11,1,0.21,2.0,88.0
Badda Link Road,Shahjahanpur,Bike,Sunny,2,0,0.77,6.1,173.0
Azampur,Mirpur 1,Bus,Sunny,9,0,0.213,12.8,87.0
Mirpur 14,Farmgate,Car,Regular,0,6,0.49,9.7,447.0
Mirpur 11,Dhanmondi 15/32,Car,Regular,5,5,0.4,10.3,492.0
City College / Science Lab,Gulshan 1,Bike,Sunny,14,6,0.66,7.6,181.0
Shahbagh,Ray Saheb Bazar,Rickshaw,Sunny,4,2,0.77,4.4,150.0
Mirpur 12,Mirpur 11,Bike,Regular,9,0,0.19,1.8,80.0
Kalabagan,Shishu Mela,CNG,Regular,14,3,0.75,3.7,211.0
Tikatuli,Abdullahpur,Car,Rainy,3,1,0.33,25.7,1396.0
Gulshan 2,Karwan Bazar,Bike,Stormy,11,1,0.63,6.8,249.0
Mazar Road,Technical,Car,Stormy,3,3,0.81,1.5,192.0
Shahjahanpur,Kalabagan,CNG,Sunny,8,5,0.92,5.8,402.0
Jagannath University,Cantonment (Radisson),CNG,Stormy,13,3,0.21,14.5,929.0
Kuril / Kuratoli (AIUB),MES,Rickshaw,Rainy,9,3,0.81,4.0,216.0
Azampur,Mohakhali Bus Terminal,Car,Sunny,10,5,0.41,15.1,972.0
Badda,Chairman Bari,Car,Regular,18,5,0.26,5.0,390.0
Kochukhet,Kalabagan,CNG,Stormy,16,4,0.62,8.1,488.0
Azimpur / Palashi,Bashundhara / Jamuna FP,Bus,Regular,7,0,0.111,13.2,76.0
Rampura Bridge,Kalabagan,Car,Rainy,16,4,0.44,8.0,423.0
Jagannath University,MES,Bike,Regular,16,1,0.55,15.6,346.0
City College / Science Lab,Mirpur 2,Bus,Sunny,22,6,0.23399999999999999,9.2,57.0
High Court,College Gate,Bus,Rainy,6,4,0.141,6.8,38.0
Shishu Mela,Mirpur 12,Car,Regular,7,5,0.41,9.3,426.0
Khilgaon Flyover,Matsya Bhaban,Car,Sunny,13,5,0.85,4.0,208.0
Mirpur 12,Bangla Motor,CNG,Regular,22,1,0.11,12.5,515.0
Tikatuli,Jagannath University,CNG,Sunny,9,6,0.44,3.7,279.0
Malibagh Chowdhury Para,Kuril / Kuratoli (AIUB),CNG,Sunny,8,1,0.87,10.1,622.0
Shyamoli,Ray Saheb Bazar,CNG,Rainy,4,2,0.84,10.5,645.0
Mohakhali Bus Terminal,Nabisco,Bike,Regular,5,1,0.75,2.2,92.0
Satrasta,Malibagh Chowdhury Para,CNG,Rainy,6,1,0.92,5.9,361.0
Azampur,Mirpur 1,Bike,Regular,1,3,0.96,12.8,317.0
Shahbagh,Technical,Car,Stormy,22,6,0.96,7.7,553.0
Mazar Road,Gulshan 2,Bike,Regular,8,0,0.42,7.2,275.0
Mohakhali Bus Terminal,Rajlakshmi,Car,Rainy,4,3,0.73,14.2,817.0
Malibagh Chowdhury Para,Bashundhara / Jamuna FP,CNG,Sunny,16,4,0.81,9.1,345.0
Malibagh Chowdhury Para,Mirpur 1,Car,Rainy,20,0,0.69,10.8,1009.0
Jahangir Gate,Gulshan 1,Rickshaw,Stormy,11,6,0.72,5.0,225.0
Paltan,Rajarbagh,Rickshaw,Sunny,20,5,0.92,2.1,107.0
Farmgate,Notun Bazar,Car,Rainy,16,5,0.64,9.4,536.0
Sayedabad Bus Terminal,Karwan Bazar,Car,Sunny,22,6,0.16,7.5,309.0
Merul Badda,Jatrabari,CNG,Rainy,12,1,0.57,10.2,578.0
Mirpur 11,Asad Gate,Car,Rainy,22,4,0.58,8.6,449.0
Paltan,Satrasta,Bus,Sunny,16,4,0.039,6.0,52.0
Rajarbagh,Gulistan,Rickshaw,Sunny,19,4,0.76,2.8,109.0
Azimpur / Palashi,Sayedabad Bus Terminal,CNG,Sunny,17,3,0.74,6.5,413.0
Bangla Motor,Mazar Road,CNG,Sunny,5,6,0.89,7.7,366.0
Sainik Club / Banani Railgate,Malibagh Railgate,CNG,Stormy,6,3,0.16,7.3,501.0
Dhanmondi 27,Badda Link Road,Car,Sunny,8,0,0.96,11.0,730.0
Mugda,Maniknagar,CNG,Regular,22,0,0.57,2.0,140.0
Matsya Bhaban,City College / Science Lab,Bike,Rainy,23,2,0.83,2.5,150.0
Rampura Bridge,Gulshan 2,Bus,Regular,1,2,0.267,5.1,40.0
Rajlakshmi,Maniknagar,Car,Sunny,23,3,0.44,24.0,943.0
Mirpur 14,Maniknagar,Bike,Regular,4,3,0.2,17.8,408.0
Pallabi,College Gate,Bike,Regular,12,4,0.76,9.0,198.0
Nadda,Nabisco,Bus,Rainy,15,0,0.12,7.1,48.0
Technical,Kamalapur,CNG,Rainy,18,6,0.84,10.6,899.0
Rajarbagh,Press Club,Car,Sunny,6,6,0.1,3.1,169.0
Malibagh Chowdhury Para,Satrasta,Bike,Sunny,13,2,0.98,5.9,156.0
Badda,Darussalam,CNG,Rainy,5,2,0.78,11.1,678.0
Mirpur 1,Abdullahpur,Bus,Sunny,4,4,0.243,14.5,77.0
Bashundhara / Jamuna FP,Agargaon (IDB Bhaban),Car,Sunny,11,5,0.74,7.9,334.0
New Market / Nilkhet,Abul Hotel,CNG,Regular,2,3,0.78,8.5,425.0
Kamalapur,Naya Bazar,Car,Rainy,14,6,0.84,3.0,230.0
Paltan,Tikatuli,Bus,Rainy,2,0,0.291,1.7,19.0
College Gate,Kuril / Kuratoli (AIUB),CNG,Regular,5,2,0.35,12.1,564.0
Karwan Bazar,Merul Badda,Bike,Sunny,16,0,0.74,6.9,166.0
Notun Bazar,Merul Badda,Bus,Regular,7,3,0.081,2.8,28.0
House Building,Cantonment (Radisson),Bike,Rainy,2,4,0.22,11.9,326.0
Dhanmondi 15/32,Jashimuddin (Uttara),Bus,Stormy,19,5,0.156,18.5,113.0
Shahjahanpur,Farmgate,Rickshaw,Sunny,21,5,0.39,4.3,126.0
Tikatuli,Gulshan 1,Car,Stormy,16,4,0.17,8.6,514.0
Karwan Bazar,Paltan,Car,Rainy,0,3,0.8,4.4,300.0
Khilgaon Flyover,Malibagh Chowdhury Para,Car,Sunny,16,3,0.99,1.0,105.0
Bashundhara / Jamuna FP,High Court,Bike,Rainy,17,3,0.17,11.7,482.0
Press Club,Naya Bazar,Rickshaw,Rainy,21,6,0.22,2.0,111.0
Merul Badda,Kakali (Banani),Rickshaw,Stormy,2,2,0.13,4.6,230.0
Mazar Road,Kamalapur,Car,Rainy,3,5,0.84,11.5,703.0
Nabisco,Darussalam,Bike,Regular,17,5,0.63,5.1,200.0
Malibagh Chowdhury Para,Abul Hotel,Rickshaw,Rainy,18,6,0.52,2.3,147.0
Dhanmondi 15/32,College Gate,Car,Sunny,5,1,0.69,2.4,160.0
Bangla Motor,Shishu Mela,Rickshaw,Regular,9,2,0.71,4.7,186.0
Gulistan,Kalyanpur,CNG,Rainy,4,3,0.76,10.7,639.0
Bashundhara / Jamuna FP,Darussalam,Bike,Rainy,8,3,0.13,9.3,414.0
High Court,Bangla Motor,Bike,Stormy,21,4,0.29,2.6,102.0
Notun Bazar,Nabisco,CNG,Rainy,2,1,0.74,8.0,511.0
Nabisco,Mirpur 1,Bus,Regular,13,6,0.126,5.4,36.0
Mirpur 10,Satrasta,Bus,Sunny,12,6,0.153,7.0,42.0
Rajarbagh,Jagannath University,CNG,Sunny,10,3,0.74,5.9,382.0
Azimpur / Palashi,Chairman Bari,Bus,Rainy,5,3,0.177,9.2,61.0
Amtoli (Mohakhali),City College / Science Lab,CNG,Rainy,23,6,0.57,7.2,458.0
Airport,Kakali (Banani),Bus,Sunny,12,3,0.219,7.5,50.0
Jagannath University,Shahjahanpur,CNG,Regular,4,6,0.26,6.6,324.0
High Court,Mirpur 11,Bike,Sunny,17,1,0.66,13.1,404.0
Abul Hotel,Dhanmondi 27,CNG,Regular,1,1,0.64,9.1,455.0
Gulistan,Chandpur,Bus,Rainy,5,5,0.279,80.9,436.0
Rampura Bridge,Jashimuddin (Uttara),Car,Rainy,0,5,0.59,16.5,936.0
Merul Badda,Mirpur 11,Bus,Regular,14,4,0.132,10.9,74.0
Matsya Bhaban,Kakali (Banani),Bike,Regular,7,5,0.68,8.0,206.0
Azampur,Rajlakshmi,Bus,Sunny,15,4,0.096,1.0,10.0
Jahangir Gate,Sainik Club / Banani Railgate,Bike,Rainy,10,4,0.84,4.7,220.0
Rampura Bridge,Bashundhara / Jamuna FP,Bike,Sunny,3,4,0.36,7.6,172.0
Matsya Bhaban,Khilgaon Flyover,Bike,Regular,17,1,0.35,4.0,161.0
Jatrabari,Chandpur,Bus,Sunny,12,6,0.222,77.6,327.0
Mohakhali Bus Terminal,Shishu Mela,Bus,Regular,21,6,0.24899999999999997,6.4,38.0
Chairman Bari,Sainik Club / Banani Railgate,Bike,Sunny,12,6,0.67,0.9,80.0
Azampur,Shahjahanpur,Bike,Sunny,9,0,0.31,20.1,583.0
Bangla Motor,Agargaon (IDB Bhaban),Bike,Rainy,3,3,0.7,4.9,193.0
Gulshan 2,Asad Gate,Bike,Sunny,16,2,0.88,8.5,200.0
Kochukhet,Paltan,Car,Sunny,13,4,0.64,9.8,368.0
Matsya Bhaban,Kamalapur,CNG,Rainy,9,5,0.5,2.9,307.0
Nabisco,Chandpur,Bus,Rainy,3,1,0.12,88.2,463.0
Shahbagh,Bangla Motor,Car,Regular,0,2,0.41,1.2,118.0
Kuril / Kuratoli (AIUB),Khilgaon Flyover,Bike,Rainy,11,4,0.51,11.0,272.0
Matsya Bhaban,Naya Bazar,Bus,Sunny,11,1,0.288,3.5,21.0
Asad Gate,Middle Badda,Bus,Sunny,11,3,0.159,10.2,47.0
Mirpur 12,Asad Gate,Car,Rainy,14,5,0.61,10.4,586.0
Malibagh Chowdhury Para,New Market / Nilkhet,Bike,Regular,12,2,0.71,7.0,194.0
Pallabi,Kamalapur,Bus,Rainy,14,4,0.036,15.0,72.0
Tikatuli,Shahbagh,Bike,Stormy,17,1,0.84,4.5,279.0
Dhanmondi 27,Kalabagan,Car,Stormy,5,0,0.7,1.4,194.0
Khilgaon Flyover,Khilkhet,Bike,Regular,14,3,0.17,13.0,275.0
Rampura Bridge,Paltan,Bus,Regular,5,4,0.036,5.0,37.0
Tikatuli,Darussalam,Car,Sunny,4,2,0.27,12.5,518.0
New Market / Nilkhet,Gulistan,Rickshaw,Regular,8,2,0.17,4.4,154.0
Abdullahpur,Mirpur 1,Car,Sunny,15,3,0.66,14.5,559.0
Kalabagan,Dhanmondi 15/32,Bus,Regular,6,1,0.066,0.7,21.0
Mirpur 1,Mazar Road,CNG,Sunny,21,5,0.26,0.7,74.0
Asad Gate,Tikatuli,Car,Regular,5,6,0.62,9.2,444.0
Shyamoli,Farmgate,CNG,Sunny,20,1,0.32,4.1,284.0
Technical,Malibagh Railgate,CNG,Rainy,22,4,0.54,9.9,505.0
Mirpur 12,High Court,Bus,Sunny,17,2,0.132,14.8,86.0
Kuril / Kuratoli (AIUB),Amtoli (Mohakhali),CNG,Sunny,16,0,0.95,6.2,263.0
Tikatuli,Darussalam,CNG,Sunny,17,1,0.33,12.5,747.0
High Court,Khilgaon Flyover,Car,Regular,16,6,0.9,3.2,199.0
Kakali (Banani),Jahangir Gate,Bus,Regular,4,4,0.039,4.6,40.0
City College / Science Lab,Jashimuddin (Uttara),Car,Sunny,4,3,0.76,19.3,791.0
Shyamoli,Gulistan,Bus,Sunny,14,2,0.21,9.8,51.0
Maniknagar,Mugda,Bike,Sunny,15,3,0.91,2.0,81.0
Malibagh Chowdhury Para,Tikatuli,CNG,Regular,15,3,0.24,4.3,209.0
Kalyanpur,Khilkhet,Bus,Sunny,20,3,0.084,11.5,77.0
Sainik Club / Banani Railgate,Kuril / Kuratoli (AIUB),Car,Rainy,22,6,0.86,4.4,299.0
Rampura Bridge,Khilkhet,Bus,Sunny,21,5,0.297,10.8,63.0
Khilkhet,Naya Bazar,CNG,Sunny,20,6,0.18,17.3,1001.0
Airport,Kakali (Banani),CNG,Regular,4,4,0.77,7.5,351.0
Sayedabad Bus Terminal,Mirpur 2,Car,Sunny,6,3,0.67,15.1,585.0
Mirpur 2,Rajarbagh,CNG,Rainy,6,2,0.27,12.4,674.0
Badda Link Road,Middle Badda,Car,Rainy,5,2,1.0,0.8,132.0
Bashundhara / Jamuna FP,Rajarbagh,Car,Sunny,5,4,0.1,11.0,397.0
Kuril / Kuratoli (AIUB),Badda Link Road,Bus,Sunny,12,3,0.138,5.6,36.0
Sayedabad Bus Terminal,Kalyanpur,Bus,Regular,23,1,0.192,13.1,92.0
Nadda,Paltan,Bus,Rainy,16,6,0.051000000000000004,11.0,59.0
Naya Bazar,Kalyanpur,CNG,Rainy,18,4,0.23,10.6,797.0
Asad Gate,College Gate,Rickshaw,Sunny,19,0,0.64,0.5,63.0
Badda,Kochukhet,Bus,Regular,14,2,0.216,6.8,51.0
Rajarbagh,City College / Science Lab,Car,Sunny,16,5,0.85,6.6,298.0
City College / Science Lab,Nadda,Bike,Rainy,18,4,0.86,11.8,449.0
Bangla Motor,New Market / Nilkhet,CNG,Regular,4,3,0.22,2.6,166.0
Technical,Shishu Mela,Bus,Rainy,3,4,0.048,2.4,20.0
Naya Bazar,Kamalapur,Car,Sunny,13,1,0.34,3.0,156.0
Jahangir Gate,Chairman Bari,Rickshaw,Regular,23,2,0.16,4.4,159.0
Shishu Mela,Kuril / Kuratoli (AIUB),Bus,Sunny,6,5,0.273,11.9,65.0
Kochukhet,Kuril / Kuratoli (AIUB),Bike,Rainy,23,5,0.76,5.6,212.0
Shyamoli,Kuril / Kuratoli (AIUB),Bike,Sunny,22,1,0.27,11.7,223.0
Nabisco,Farmgate,Rickshaw,Regular,5,5,0.51,1.9,84.0
Mirpur 10,Badda Link Road,CNG,Sunny,21,0,0.7,10.4,403.0
Farmgate,Nabisco,Bus,Sunny,2,2,0.243,1.9,18.0
Mirpur 2,Paltan,CNG,Sunny,3,5,0.78,12.1,517.0
Abul Hotel,Abdullahpur,CNG,Regular,16,6,0.6,20.0,833.0
Sayedabad Bus Terminal,Gulshan 1,Bus,Regular,19,2,0.056999999999999995,9.8,80.0
New Market / Nilkhet,Amtoli (Mohakhali),Car,Regular,10,3,0.57,8.2,616.0
Jashimuddin (Uttara),Mohakhali Bus Terminal,Bus,Sunny,7,6,0.20400000000000001,13.3,46.0
Jahangir Gate,Malibagh Chowdhury Para,Bike,Sunny,2,4,0.92,8.2,196.0
Satrasta,Press Club,Bus,Sunny,7,4,0.22799999999999998,5.8,31.0
Mirpur 1,Kuril / Kuratoli (AIUB),CNG,Sunny,5,1,0.48,9.0,407.0
Azampur,Maniknagar,Car,Sunny,8,3,0.93,25.0,1563.0
Malibagh Railgate,Pallabi,Bus,Regular,20,1,0.252,13.4,94.0
Chandpur,Naya Bazar,Bike,Sunny,23,1,0.19,80.4,1512.0
Nabisco,Kalabagan,Bike,Rainy,22,5,0.76,4.7,167.0
Malibagh Railgate,Middle Badda,Car,Regular,19,4,0.71,4.6,355.0
Mirpur 1,Mirpur 12,Bus,Rainy,14,5,0.126,4.8,26.0
Kuril / Kuratoli (AIUB),Shyamoli,CNG,Regular,19,5,0.91,11.7,788.0
Mugda,Jashimuddin (Uttara),Car,Sunny,23,5,0.51,21.3,844.0
Mirpur 14,Mazar Road,Car,Regular,13,2,0.48,4.6,237.0
MES,Kalabagan,Car,Rainy,8,3,0.12,10.4,949.0
Kochukhet,Mirpur 1,Rickshaw,Sunny,22,0,0.35,4.0,117.0
Badda Link Road,Dhanmondi 15/32,Car,Sunny,13,5,0.64,10.8,454.0
Mirpur 12,Khilgaon Flyover,Bike,Rainy,13,5,0.9,14.8,420.0
Naya Bazar,Malibagh Chowdhury Para,Car,Sunny,13,1,0.62,6.3,276.0
Kuril / Kuratoli (AIUB),Jahangir Gate,Bus,Sunny,11,0,0.22799999999999998,9.0,48.0
Matsya Bhaban,Mirpur 11,CNG,Rainy,7,3,0.92,11.9,662.0
Sainik Club / Banani Railgate,MES,Rickshaw,Sunny,19,4,0.25,2.4,91.0
Ray Saheb Bazar,Kalabagan,Bus,Rainy,3,5,0.243,6.2,55.0
Pallabi,Mirpur 11,Bike,Regular,8,0,0.34,0.9,82.0
Badda,Mazar Road,Bus,Regular,7,2,0.105,11.0,60.0
Mirpur 10,Shishu Mela,CNG,Regular,2,5,0.65,6.5,331.0
Farmgate,New Market / Nilkhet,Bike,Sunny,8,0,0.84,4.1,161.0
Nabisco,Farmgate,CNG,Rainy,13,2,0.51,1.9,174.0
Mirpur 14,Gulshan 1,CNG,Rainy,11,4,0.38,8.4,425.0
Kakali (Banani),Jahangir Gate,Rickshaw,Regular,22,5,0.33,4.6,138.0
Notun Bazar,Pallabi,Bus,Sunny,3,1,0.054,12.1,64.0
Abdullahpur,Nabisco,Bus,Stormy,11,1,0.11699999999999999,18.2,90.0
Ray Saheb Bazar,Badda Link Road,Bike,Rainy,12,1,0.55,11.8,346.0
Tikatuli,Farmgate,Car,Regular,7,1,0.11,6.9,304.0
Mirpur 10,Asad Gate,CNG,Sunny,4,4,0.83,7.6,317.0
Rajlakshmi,Airport,Rickshaw,Sunny,20,5,0.87,5.0,178.0
Gulshan 1,Dhanmondi 15/32,Bike,Regular,11,1,0.45,7.6,183.0
Pallabi,Abdullahpur,Bus,Stormy,22,2,0.186,10.6,73.0
Press Club,Jashimuddin (Uttara),Bike,Sunny,4,6,0.23,20.7,406.0
Notun Bazar,Shahbagh,Car,Sunny,10,0,0.19,10.6,691.0
MES,Shishu Mela,Bus,Regular,3,0,0.069,8.3,66.0
Agargaon (IDB Bhaban),Naya Bazar,Car,Regular,12,3,0.19,9.6,410.0
Mugda,Technical,CNG,Regular,9,4,0.85,13.2,775.0
Bangla Motor,Amtoli (Mohakhali),Bus,Sunny,22,5,0.192,5.6,25.0
Khilkhet,Agargaon (IDB Bhaban),CNG,Sunny,16,4,0.59,9.7,344.0
Dhanmondi 15/32,City College / Science Lab,Car,Sunny,12,2,0.26,1.4,117.0
Kuril / Kuratoli (AIUB),Kakali (Banani),Car,Regular,18,0,0.62,4.7,386.0
Jashimuddin (Uttara),Rampura Bridge,Bike,Regular,18,4,0.99,16.5,498.0
Jashimuddin (Uttara),Nadda,CNG,Rainy,7,3,0.87,10.5,599.0
Shahbagh,Nadda,Car,Stormy,10,5,0.58,10.9,1172.0
Nadda,House Building,Bus,Regular,5,6,0.111,13.3,85.0
Badda Link Road,Press Club,Car,Regular,18,1,0.75,9.1,674.0
City College / Science Lab,Cantonment (Radisson),Bus,Rainy,2,6,0.06,9.8,71.0
Kakali (Banani),Gulshan 1,Car,Sunny,2,2,0.13,2.1,139.0
Khilkhet,Chairman Bari,Car,Rainy,9,5,0.68,6.5,643.0
Cantonment (Radisson),Matsya Bhaban,Car,Sunny,16,6,0.1,9.3,372.0
Bangla Motor,Jagannath University,CNG,Sunny,7,4,0.84,6.4,256.0
Gulshan 1,Jagannath University,Bus,Rainy,7,6,0.162,11.3,63.0
Naya Bazar,Chandpur,Car,Regular,13,3,0.62,80.4,3154.0
High Court,Sainik Club / Banani Railgate,CNG,Sunny,5,1,0.17,9.0,403.0
Middle Badda,Darussalam,Bike,Sunny,12,6,0.29,10.5,214.0
High Court,Satrasta,Car,Rainy,13,5,0.34,5.0,317.0
Mazar Road,Badda Link Road,Bike,Rainy,21,3,0.67,10.6,305.0
Abul Hotel,City College / Science Lab,Bus,Sunny,20,6,0.18,8.2,51.0
Khilgaon Flyover,Rampura Bridge,Bike,Sunny,1,6,0.15,2.5,82.0
Chairman Bari,Agargaon (IDB Bhaban),Bus,Stormy,18,4,0.144,4.2,43.0
City College / Science Lab,Bangla Motor,Rickshaw,Rainy,0,3,0.67,1.8,114.0
Asad Gate,Rajarbagh,CNG,Rainy,12,4,0.97,8.9,459.0
Kuril / Kuratoli (AIUB),Malibagh Chowdhury Para,CNG,Sunny,4,5,0.96,10.1,462.0
Abdullahpur,Mohakhali Bus Terminal,Car,Regular,17,5,0.79,17.1,1198.0
Gulistan,Tikatuli,Rickshaw,Rainy,10,5,0.89,1.2,101.0
Abdullahpur,Kochukhet,Bus,Sunny,7,5,0.084,14.5,67.0
Dhanmondi 15/32,Badda Link Road,CNG,Sunny,23,1,0.12,10.8,464.0
Abul Hotel,Rajarbagh,Car,Regular,14,5,0.58,4.2,225.0
Amtoli (Mohakhali),Rajlakshmi,Bus,Sunny,5,0,0.11399999999999999,13.8,78.0
Rajlakshmi,High Court,Bike,Sunny,11,2,0.7,20.7,406.0
City College / Science Lab,Gulshan 2,Car,Rainy,22,0,0.36,9.3,529.0
Kakali (Banani),Technical,Bus,Rainy,8,4,0.096,6.5,62.0
Chairman Bari,Jatrabari,Bike,Stormy,22,4,0.58,12.7,376.0
New Market / Nilkhet,Chandpur,Bus,Rainy,16,2,0.22499999999999998,83.5,391.0
Rajlakshmi,Rajarbagh,Car,Regular,10,4,0.83,20.8,1299.0
Mirpur 12,Abdullahpur,Car,Sunny,16,6,0.93,9.7,406.0
Kuril / Kuratoli (AIUB),Cantonment (Radisson),CNG,Regular,21,5,0.51,4.3,208.0
